policy,trial_id,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,0,2,8,3554,3554,0,2380,2380,0,0,0.05066577086112534,0.9201327988647388,0.9869467028003613
seven_day_first,0,2,8,3583,3583,0,2368,2368,0,0,0.0027355984723931304,0.9209831142808845,0.9918247515808492
weighted_score,0,2,8,3548,3548,0,2338,2338,0,0,0.0033065130015622612,0.9120689339591052,0.9908762420957543
reset_aware_weekly_priority,0,2,8,3756,3756,0,2363,2363,0,0,0.0029517438599097616,0.9654630356394942,0.9962511291779584
five_hour_first,1,4,16,8653,5452,3201,6062,3547,0,0,0.0,1.0,0.6373294526229845
seven_day_first,1,4,16,8659,5452,3207,6131,3574,0,0,0.0,1.0,0.6364785252517554
weighted_score,1,4,16,8647,5452,3195,6065,3577,0,0,0.0,1.0,0.6387997362141429
reset_aware_weekly_priority,1,4,16,8430,5452,2978,5958,3625,0,0,0.0,1.0,0.6548229002782228
five_hour_first,2,5,15,11014,8926,2088,8281,6483,0,0,0.0,1.0,0.8130152845615883
seven_day_first,2,5,15,10897,8926,1971,8180,6586,0,0,0.0,1.0,0.824670789362856
weighted_score,2,5,15,10950,8926,2024,8059,6411,0,0,0.0,1.0,0.8194889040359313
reset_aware_weekly_priority,2,5,15,10986,8926,2060,8291,6630,0,0,0.0,1.0,0.8186576064188711
five_hour_first,3,7,15,8003,8003,0,6277,6277,1,1,0.07669939015516575,0.7171249044028171,0.9640425514247651
seven_day_first,3,7,15,8064,8064,0,6342,6342,47,47,0.0038246340288666967,0.712691522470899,0.9708866888442031
weighted_score,3,7,15,8266,8228,38,6474,6436,67,49,0.03213425019446055,0.7297296175227217,0.9247756197244954
reset_aware_weekly_priority,3,7,15,7907,7907,0,6209,6209,41,41,0.04519216954362503,0.6987634418842594,0.9653571272340634
five_hour_first,4,3,8,2217,2217,0,1505,1505,0,0,0.04013650537138882,0.40088486527498013,0.9360748359903591
seven_day_first,4,3,8,2132,2132,0,1432,1432,0,0,0.0026285791739388492,0.37765524930017746,0.9375026670126239
weighted_score,4,3,8,2283,2283,0,1572,1572,0,0,0.023134105439634275,0.404936888549124,0.9381802783109491
reset_aware_weekly_priority,4,3,8,2114,2114,0,1529,1529,0,0,0.04157619340247926,0.37324976892149153,0.9331673575519013
five_hour_first,5,4,7,3242,3242,0,2209,2209,0,0,0.052869920066484305,0.5329058337595503,0.9480035913693067
seven_day_first,5,4,7,3107,3107,0,2104,2104,0,0,0.0017517880384149524,0.4972519221642089,0.9495500134125794
weighted_score,5,4,7,3140,3140,0,2046,2046,0,0,0.012907389066680826,0.5047409757183307,0.949183358665165
reset_aware_weekly_priority,5,4,7,3248,3248,0,2241,2241,0,0,0.014432304982001216,0.520352957124506,0.9505920652142504
five_hour_first,6,3,13,4901,4901,0,3183,3183,0,0,0.0073085972215663954,0.9948320413436692,0.9987523444122104
seven_day_first,6,3,13,4788,4788,0,3010,3010,0,0,0.004318651822285535,0.9714626927680801,0.9967144040945795
weighted_score,6,3,13,4836,4836,0,3100,3100,0,0,0.013310723314209997,0.9812592193785319,0.9967948496064322
reset_aware_weekly_priority,6,3,13,4676,4676,0,3112,3112,0,0,0.019507140397278612,0.9483529380016912,0.9928845797604412
five_hour_first,7,5,13,5472,5472,0,3875,3875,0,0,0.06580666866229466,0.5737179899546212,0.9507911321292326
seven_day_first,7,5,13,5665,5665,0,4149,4149,0,0,0.001976207197688289,0.5897780015067601,0.9587801794309072
weighted_score,7,5,13,5306,5306,0,3891,3891,0,0,0.0236967014978712,0.5518135867563718,0.9528116885258501
reset_aware_weekly_priority,7,5,13,5412,5412,0,3880,3880,0,0,0.03237975121783701,0.5619229244285672,0.952954317321073
five_hour_first,8,7,16,11684,11684,0,8302,8302,0,0,0.07962219450840613,0.8490082973086778,0.9769386102800272
seven_day_first,8,7,16,11582,11582,0,8385,8385,0,0,0.0033497432371368784,0.8291534798878654,0.9825803736650729
weighted_score,8,7,16,11828,11828,0,8441,8441,0,0,0.020690964254180946,0.8484931651360154,0.9827802200881834
reset_aware_weekly_priority,8,7,16,11497,11497,0,8382,8382,0,0,0.03840313156155218,0.8240087665905245,0.9785605635028973
five_hour_first,9,4,7,4890,4890,0,3454,3454,0,0,0.08565201767262705,0.6521656207601116,0.9566513603087484
seven_day_first,9,4,7,4968,4968,0,3511,3511,0,0,0.0030880833822358096,0.6455655097873467,0.9642477426405112
weighted_score,9,4,7,4995,4995,0,3541,3541,0,0,0.03081187194160504,0.6534046442003106,0.9622592772258706
reset_aware_weekly_priority,9,4,7,5027,5027,0,3558,3558,0,0,0.03174054013263059,0.6563473813844486,0.9624606841251818
