policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,0,focused,same_reset,2,12,17260,4410,12850,13545,2745,1414,13,0.0,1.0,0.1308963572392702
seven_day_first,0,focused,same_reset,2,12,17158,4410,12748,13503,2752,2537,648,0.0,1.0,0.1691806825832538
weighted_score,0,focused,same_reset,2,12,17354,4410,12944,13607,2778,1641,249,0.0,1.0,0.15168447912528227
reset_aware_weekly_priority,0,focused,same_reset,2,12,17889,4410,13479,14421,2842,2218,439,0.0,1.0,0.15152148247823793
reset_stagger_pressure,0,focused,same_reset,2,12,17464,4410,13054,13868,2784,2118,480,0.0,1.0,0.16094544428532206
five_hour_first,1,focused,same_reset,3,21,40097,4209,35888,28611,2366,3178,10,0.0,1.0,-0.005374825673201966
seven_day_first,1,focused,same_reset,3,21,39436,4209,35227,27935,2409,4387,695,0.0,1.0,0.020033292063069835
weighted_score,1,focused,same_reset,3,21,39338,4209,35129,27847,2336,3300,259,0.0,1.0,0.007641511813738122
reset_aware_weekly_priority,1,focused,same_reset,3,21,39623,4209,35414,28505,2367,3679,401,0.0,1.0,0.011467394617152293
reset_stagger_pressure,1,focused,same_reset,3,21,38823,4209,34614,27632,2367,3503,381,0.0,1.0,0.013620555778520033
five_hour_first,2,focused,staggered_reset,3,22,54473,5536,48937,44106,3386,6121,4,0.0,1.0,-0.00956974593237403
seven_day_first,2,focused,staggered_reset,3,22,54979,5536,49443,44358,3386,6635,480,0.0,1.0,0.00042000629582147897
weighted_score,2,focused,staggered_reset,3,22,54784,5536,49248,44582,3386,6413,244,0.0,1.0,-0.00456937761709747
reset_aware_weekly_priority,2,focused,staggered_reset,3,22,55122,5536,49586,44825,3386,6484,216,0.0,1.0,-0.0058162948133555215
reset_stagger_pressure,2,focused,staggered_reset,3,22,54198,5536,48662,44320,3395,6552,483,0.0,1.0,0.0017089820847938642
five_hour_first,3,focused,staggered_reset,3,29,59015,3949,55066,45691,2317,4343,4,0.0,1.0,-0.04034366153486277
seven_day_first,3,focused,staggered_reset,3,29,59762,3949,55813,46227,2312,5472,474,0.0,1.0,-0.028247918275597972
weighted_score,3,focused,staggered_reset,3,29,59380,3949,55431,46225,2341,5101,185,0.0,1.0,-0.03534628108439611
reset_aware_weekly_priority,3,focused,staggered_reset,3,29,59483,3949,55534,46252,2344,5201,223,0.0,1.0,-0.03442672084765541
reset_stagger_pressure,3,focused,staggered_reset,3,29,59888,3949,55939,46784,2344,4874,140,0.0,1.0,-0.03700794614152203
five_hour_first,4,focused,staggered_reset,2,12,27796,3047,24749,20715,1823,2445,9,0.0,1.0,-0.000712824821757857
seven_day_first,4,focused,staggered_reset,2,12,28167,3047,25120,21117,1774,3317,459,0.0,1.0,0.01748210836318964
weighted_score,4,focused,staggered_reset,2,12,28346,3047,25299,20882,1774,2706,168,0.0,1.0,0.005796210214351394
reset_aware_weekly_priority,4,focused,staggered_reset,2,12,28617,3047,25570,21262,1811,3014,278,0.0,1.0,0.009661912695008351
reset_stagger_pressure,4,focused,staggered_reset,2,12,28189,3047,25142,21017,1757,2639,129,0.0,1.0,0.003896336875883838
five_hour_first,5,focused,staggered_reset,3,19,44119,4537,39582,34359,2682,4132,5,0.0,1.0,-0.008319093028725993
seven_day_first,5,focused,staggered_reset,3,19,44234,4537,39697,34505,2696,6182,479,0.0,1.0,0.002953565404309688
weighted_score,5,focused,staggered_reset,3,19,44266,4537,39729,34267,2646,4678,194,0.0,1.0,-0.0027292965548303127
reset_aware_weekly_priority,5,focused,staggered_reset,3,19,44431,4537,39894,34809,2675,4576,98,0.0,1.0,-0.006096229496329958
reset_stagger_pressure,5,focused,staggered_reset,3,19,44323,4537,39786,34519,2671,4684,187,0.0,1.0,-0.003013566285326119
five_hour_first,6,focused,staggered_reset,2,20,34958,3411,31547,26411,1976,2310,8,0.0,1.0,-0.012474229383465069
seven_day_first,6,focused,staggered_reset,2,20,35676,3411,32265,27190,1896,5132,439,0.0,1.0,-0.002808519278372751
weighted_score,6,focused,staggered_reset,2,20,35963,3411,32552,27303,1933,2527,150,0.0,1.0,-0.007003403762935595
reset_aware_weekly_priority,6,focused,staggered_reset,2,20,35606,3411,32195,27142,1952,2645,151,0.0,1.0,-0.00639823517179508
reset_stagger_pressure,6,focused,staggered_reset,2,20,35523,3411,32112,26795,1928,2472,46,0.0,1.0,-0.012004700396745421
