policy,trial_id,scenario_mode,reset_pattern,account_count,user_count,total_demand,served_demand,denied_demand,peak_total_demand,peak_served_demand,migrated_requests,migration_successes,peak_useful_five_hour,weekly_drift,mean_seven_day_utilization,objective_score
five_hour_first,0,focused,staggered_reset,2,14,15566,2978,12588,12699,1689,1556,11,0.06505102040816327,0.0,1.0,0.06977220187868113
seven_day_first,0,focused,staggered_reset,2,14,15818,2978,12840,12806,1678,2561,422,0.06284013605442176,0.0,1.0,0.085862896029432
weighted_score,0,focused,staggered_reset,2,14,15474,2978,12496,12486,1669,1732,195,0.06904761904761905,0.0,1.0,0.08397907460881712
reset_aware_weekly_priority,0,focused,staggered_reset,2,14,15613,2978,12635,12634,1724,2028,293,0.06870748299319727,0.0,1.0,0.08752549113567082
reset_stagger_pressure,0,focused,staggered_reset,2,14,15087,2978,12109,12183,1765,1953,227,0.06768707482993197,0.0,1.0,0.09062076375051162
reset_near_expiry_reserve,0,focused,staggered_reset,2,14,15167,2978,12189,12319,1728,1864,331,0.07049319727891157,0.0,1.0,0.09640460868698694
five_hour_first,1,focused,same_reset,3,24,37118,4872,32246,29154,2750,4229,14,0.03934240362811814,0.0,1.0,0.01636942998484686
seven_day_first,1,focused,same_reset,3,24,37306,4872,32434,29360,2707,6756,825,0.038945578231292736,0.0,1.0,0.029514296549482594
weighted_score,1,focused,same_reset,3,24,36858,4872,31986,29132,2714,4681,403,0.035714285714285934,0.0,1.0,0.025947502020643998
reset_aware_weekly_priority,1,focused,same_reset,3,24,36713,4872,31841,29307,2773,5071,270,0.03922902494331108,0.0,1.0,0.023328748767609514
reset_stagger_pressure,1,focused,same_reset,3,24,36321,4872,31449,28920,2733,4477,346,0.03979591836734738,0.0,1.0,0.027157147894056488
reset_near_expiry_reserve,1,focused,same_reset,3,24,36816,4872,31944,28946,2731,4357,325,0.038888888888889306,0.0,1.0,0.025524700424846503
five_hour_first,2,focused,same_reset,3,25,49727,5102,44625,41105,3046,5647,29,0.02505668934240363,0.0,1.0,-0.009531678942064026
